JOB_ROLE,INDUSTRY,COUNTRY,YEAR,AUTOMATION_RISK_PERCENT,AI_REPLACEMENT_SCORE,SKILL_GAP_INDEX,SALARY_BEFORE_USD,SALARY_AFTER_USD,SALARY_CHANGE_PERCENT,SKILL_DEMAND_GROWTH_PERCENT,REMOTE_FEASIBILITY_SCORE,AI_ADOPTION_LEVEL,EDUCATION_REQUIREMENT_LEVEL
HR Manager,Education,Canada,2024.0,11.55,10.73,48.86,122448.89,115650.53,-5.55,23.81,34.63,99.71,3.0
HR Manager,Education,Japan,2024.0,63.27,66.47,13.12,33903.14,34569.41,1.97,12.09,81.69,48.15,5.0
Truck Driver,Education,UK,2020.0,37.75,42.12,65.87,89783.49,105293.97,17.28,9.36,30.56,99.63,3.0
Teacher,Education,Canada,2020.0,71.5,68.75,32.7,110111.21,116689.25,5.97,12.01,81.8,43.56,1.0
Financial Analyst,Education,Japan,2025.0,34.74,31.08,78.05,62976.72,61119.23,-2.95,17.48,70.08,9.55,4.0
Truck Driver,Education,Australia,2024.0,63.77,58.81,39.7,83664.3,86915.32,3.89,29.93,92.75,49.7,5.0
Software Engineer,Education,Japan,2025.0,24.23,28.84,64.1,128697.67,128375.58,-0.25,13.18,64.56,76.48,4.0
Financial Analyst,Education,India,2026.0,77.42,78.95,96.58,81899.75,82427.79,0.64,-14.75,49.56,10.57,4.0
HR Manager,Education,India,2023.0,51.17,50.78,64.23,37782.43,43608.9,15.42,25.06,60.46,60.35,1.0
Data Analyst,Education,Brazil,2025.0,7.99,6.87,22.53,60116.0,61321.74,2.01,16.49,57.11,11.48,3.0
Marketing Specialist,Education,USA,2021.0,55.8,48.04,44.03,103835.76,104087.25,0.24,19.12,97.04,41.78,3.0
Financial Analyst,Education,Singapore,2024.0,65.19,69.49,26.03,138863.4,148202.99,6.73,24.0,19.99,44.71,5.0
HR Manager,Education,India,2020.0,73.17,60.48,53.4,47056.45,46900.09,-0.33,2.92,36.55,48.6,2.0
Truck Driver,Education,India,2023.0,34.15,38.11,12.48,125305.28,133093.9,6.22,1.3,94.96,14.88,1.0
Software Engineer,Education,Canada,2020.0,56.24,65.9,40.51,138733.32,135063.62,-2.65,-15.04,30.34,64.05,1.0
Software Engineer,Education,India,2022.0,66.55,71.95,29.81,42643.79,45269.67,6.16,17.04,14.34,36.01,1.0
Accountant,Education,India,2024.0,63.73,61.6,82.22,132041.76,140257.49,6.22,-6.39,52.51,88.02,2.0
Software Engineer,Education,Canada,2021.0,37.17,38.58,0.99,85691.42,85883.93,0.22,10.47,70.98,31.19,2.0
Truck Driver,Education,USA,2023.0,76.02,63.72,42.87,33500.37,40534.52,21.0,2.53,20.67,28.89,1.0
Teacher,Education,Germany,2023.0,37.85,44.2,99.33,35389.36,33091.27,-6.49,18.21,45.32,75.43,1.0
Financial Analyst,Education,India,2024.0,66.47,79.36,75.42,77183.42,90604.85,17.39,14.79,17.06,54.45,5.0
Marketing Specialist,Education,UK,2020.0,23.67,22.2,33.56,147423.06,153902.32,4.4,12.79,75.44,56.21,3.0
Financial Analyst,Education,UK,2026.0,76.3,76.18,38.05,49564.24,53011.62,6.96,13.49,44.59,2.52,4.0
Software Engineer,Education,Canada,2024.0,38.69,37.09,13.17,133835.49,127426.95,-4.79,-3.63,36.1,87.14,4.0
HR Manager,Education,USA,2026.0,57.18,46.93,54.89,64515.93,57874.84,-10.29,-8.53,65.92,33.4,3.0
Truck Driver,Education,Brazil,2022.0,77.57,65.2,27.79,63158.29,65329.6,3.44,4.51,16.08,51.87,1.0
Software Engineer,Education,Singapore,2022.0,21.9,19.9,59.77,133931.48,141317.48,5.51,8.41,28.24,58.76,1.0
Mechanical Engineer,Education,Japan,2026.0,14.38,14.14,73.27,102807.81,96844.41,-5.8,7.39,95.63,83.85,1.0
Data Analyst,Education,Australia,2025.0,7.73,7.08,30.98,59994.83,77687.88,29.49,17.45,42.12,35.38,1.0
Accountant,Education,Brazil,2021.0,75.88,87.3,10.26,77127.69,78479.05,1.75,34.85,27.45,85.88,1.0
Software Engineer,Education,Brazil,2024.0,12.55,13.52,22.96,44106.16,48410.11,9.76,14.18,56.34,16.14,3.0
Marketing Specialist,Education,USA,2026.0,25.24,26.87,48.4,30637.62,32472.18,5.99,11.68,59.36,6.65,1.0
Customer Support Rep,Education,UK,2022.0,73.47,66.53,93.91,106364.91,93860.71,-11.76,-3.95,27.18,69.46,3.0
Marketing Specialist,Education,Germany,2026.0,31.89,33.86,23.2,31725.77,33699.34,6.22,18.29,78.61,3.89,2.0
Mechanical Engineer,Education,Brazil,2022.0,79.81,64.8,89.74,104715.66,104363.69,-0.34,9.55,86.26,6.24,2.0
Accountant,Education,Australia,2021.0,27.95,26.33,67.4,37507.78,39739.6,5.95,-0.57,23.22,34.26,4.0
Mechanical Engineer,Education,India,2023.0,31.45,35.51,5.7,80232.87,94184.18,17.39,1.79,61.69,66.72,5.0
Financial Analyst,Education,Brazil,2022.0,42.76,42.19,76.06,48539.06,35202.93,-27.48,0.0,63.72,99.96,3.0
Teacher,Education,India,2023.0,39.24,33.22,61.28,142617.86,134252.88,-5.87,7.24,41.92,55.07,1.0
HR Manager,Education,Canada,2024.0,12.93,12.52,16.82,135519.63,114995.58,-15.14,8.22,55.22,73.15,5.0
Teacher,Education,Singapore,2023.0,56.99,51.76,8.12,149109.82,162424.63,8.93,23.3,87.95,28.94,4.0
Software Engineer,Education,Singapore,2026.0,42.5,40.61,24.03,41395.83,38797.28,-6.28,2.12,25.92,98.73,5.0
Financial Analyst,Education,Canada,2023.0,55.38,45.66,81.37,142860.47,148581.77,4.0,6.31,23.63,47.74,4.0
Financial Analyst,Education,Canada,2022.0,52.13,53.83,40.15,70570.13,68595.5,-2.8,-4.65,24.64,73.44,3.0
Truck Driver,Education,Canada,2026.0,72.06,71.52,80.97,144063.94,134340.57,-6.75,0.97,49.59,64.4,4.0
Truck Driver,Education,USA,2024.0,60.82,60.41,38.28,130697.59,130943.55,0.19,-6.72,15.58,7.12,5.0
Teacher,Education,Japan,2022.0,34.09,34.37,44.07,135589.76,179562.77,32.43,28.08,22.45,98.27,4.0
Accountant,Education,Canada,2022.0,20.22,23.76,91.76,136496.27,152628.65,11.82,9.81,16.21,33.48,4.0
Truck Driver,Education,Singapore,2024.0,56.52,62.15,35.7,106169.3,112389.8,5.86,-2.37,59.11,20.41,4.0
Data Analyst,Education,Australia,2022.0,56.75,66.93,9.13,49373.72,49598.33,0.45,10.58,11.28,25.76,2.0
Teacher,Education,Brazil,2025.0,15.09,13.27,34.78,104428.18,93410.08,-10.55,6.26,36.08,23.88,2.0
Truck Driver,Education,Singapore,2021.0,33.77,35.87,3.98,101721.88,83603.6,-17.81,-17.3,16.93,67.08,2.0
Teacher,Education,Canada,2026.0,17.13,19.95,82.05,121204.19,97729.93,-19.37,-2.61,59.18,9.14,1.0
Marketing Specialist,Education,India,2024.0,62.97,65.04,18.66,52587.86,58633.74,11.5,7.97,11.57,4.9,1.0
Financial Analyst,Education,USA,2022.0,78.89,72.33,29.48,72545.79,61057.52,-15.84,9.13,92.38,26.57,1.0
Teacher,Education,Japan,2025.0,57.4,61.59,62.87,61932.16,61603.26,-0.53,-0.51,90.19,56.95,1.0
Teacher,Education,Australia,2023.0,54.32,59.13,25.72,116326.58,115403.08,-0.79,2.0,66.41,14.61,3.0
Truck Driver,Education,Singapore,2020.0,60.2,67.31,13.57,147292.58,138507.88,-5.96,2.01,34.45,81.6,5.0
Mechanical Engineer,Education,USA,2025.0,69.93,58.72,9.07,61523.46,58233.45,-5.35,7.95,66.08,35.61,3.0
Data Analyst,Education,Singapore,2024.0,49.65,40.14,41.89,123103.81,132416.47,7.56,-14.14,28.45,74.2,1.0
Marketing Specialist,Education,Germany,2025.0,28.88,31.22,65.89,148695.04,161613.25,8.69,-6.86,14.68,11.36,5.0
Data Analyst,Education,Brazil,2023.0,65.49,76.28,20.93,34730.11,37268.88,7.31,10.38,97.11,88.98,5.0
HR Manager,Education,Singapore,2022.0,59.98,70.16,51.71,44047.73,39318.37,-10.74,5.81,63.32,48.25,4.0
HR Manager,Education,USA,2022.0,13.66,15.21,84.55,125889.86,105971.27,-15.82,5.5,86.08,72.72,3.0
Truck Driver,Education,USA,2024.0,48.39,48.81,58.57,31019.47,33484.28,7.95,14.74,42.97,5.29,2.0
Customer Support Rep,Education,Japan,2024.0,89.45,92.37,53.35,101567.23,113347.41,11.6,-0.06,57.1,11.67,4.0
Teacher,Education,UK,2025.0,67.93,65.97,59.61,40758.27,38081.72,-6.57,2.4,96.54,80.73,1.0
Customer Support Rep,Education,USA,2022.0,91.02,106.74,20.69,72986.28,73233.73,0.34,-6.9,51.45,90.08,5.0
Customer Support Rep,Education,Canada,2021.0,27.64,29.23,26.25,36281.66,38777.6,6.88,-1.13,86.63,48.31,1.0
Marketing Specialist,Education,Singapore,2025.0,38.21,40.49,69.81,106576.79,99876.79,-6.29,2.22,48.44,12.88,2.0
Mechanical Engineer,Education,Singapore,2025.0,11.97,10.75,88.15,79909.64,83255.93,4.19,7.21,46.72,19.13,1.0
Accountant,Education,Australia,2023.0,47.38,54.57,41.0,87839.39,86360.31,-1.68,1.74,39.21,94.51,5.0
HR Manager,Education,USA,2025.0,66.89,68.01,13.11,121938.85,110340.22,-9.51,1.58,56.66,11.26,5.0
Truck Driver,Education,Singapore,2021.0,91.23,81.91,13.16,66273.2,65577.55,-1.05,11.13,10.84,44.24,5.0
Truck Driver,Education,India,2023.0,63.14,57.67,94.84,131095.69,126063.26,-3.84,7.02,19.55,49.28,1.0
Truck Driver,Education,Australia,2026.0,42.22,42.76,48.24,114343.97,122320.46,6.98,-3.36,27.02,57.35,1.0
Customer Support Rep,Education,India,2026.0,45.04,43.67,64.99,32963.68,33493.04,1.61,18.62,35.04,6.16,4.0
Marketing Specialist,Education,Brazil,2023.0,56.46,60.21,28.62,85212.32,80383.29,-5.67,-1.0,12.07,89.67,4.0
HR Manager,Education,UK,2025.0,52.99,49.48,81.79,34603.66,34733.57,0.38,15.92,45.84,49.72,2.0
Financial Analyst,Education,India,2026.0,56.72,45.66,87.16,83608.74,76136.24,-8.94,1.12,49.55,49.63,3.0
Software Engineer,Education,Japan,2020.0,40.98,41.76,64.05,61133.9,61140.69,0.01,-10.44,85.64,70.13,5.0
Teacher,Education,Brazil,2020.0,54.14,53.05,18.86,90947.69,103390.06,13.68,6.26,76.2,66.38,1.0
Financial Analyst,Education,India,2026.0,13.94,11.29,45.0,69922.82,58497.97,-16.34,0.75,24.82,68.91,3.0
Mechanical Engineer,Education,Australia,2022.0,46.23,47.67,74.93,145762.86,146481.88,0.49,12.22,65.34,48.24,2.0
Data Analyst,Education,Japan,2021.0,17.97,18.63,93.6,111374.7,130390.03,17.07,-2.71,40.96,27.73,5.0
Customer Support Rep,Education,Brazil,2020.0,71.57,59.51,60.38,49671.81,45224.42,-8.95,15.63,51.71,59.94,1.0
Customer Support Rep,Education,Japan,2023.0,50.45,53.29,90.13,49670.43,44686.31,-10.03,1.69,66.24,72.89,3.0
Mechanical Engineer,Education,Singapore,2021.0,56.85,64.39,15.03,34630.99,33376.14,-3.62,12.42,21.61,46.85,1.0
HR Manager,Education,UK,2025.0,21.31,24.77,51.62,48449.92,48999.61,1.13,6.86,75.85,70.92,3.0
Financial Analyst,Education,Singapore,2023.0,13.64,15.74,86.27,83198.44,86174.13,3.58,5.65,57.91,90.53,4.0
Teacher,Education,Australia,2023.0,77.96,74.02,68.15,37624.29,39277.82,4.39,4.02,58.51,28.79,4.0
Customer Support Rep,Education,Singapore,2022.0,68.28,57.72,15.63,82444.05,94561.54,14.7,-1.22,62.27,38.81,1.0
Teacher,Education,Canada,2025.0,28.06,27.96,97.55,69989.01,64321.82,-8.1,6.88,64.54,8.96,4.0
Teacher,Education,Brazil,2024.0,14.48,16.58,96.15,59609.69,57242.5,-3.97,4.59,67.66,41.39,1.0
HR Manager,Education,India,2026.0,74.33,86.22,44.82,62929.52,53062.24,-15.68,-9.92,35.82,26.86,5.0
Teacher,Education,India,2024.0,29.39,33.65,28.35,112410.69,100057.69,-10.99,11.87,13.13,40.92,2.0
Truck Driver,Education,Australia,2021.0,45.24,50.84,80.04,84842.87,97901.4,15.39,20.72,84.44,42.5,5.0
Truck Driver,Education,USA,2020.0,49.92,45.61,17.61,119199.95,115614.11,-3.01,-11.27,44.73,98.21,2.0
Financial Analyst,Education,Japan,2022.0,55.82,60.5,58.62,72869.04,59471.93,-18.39,13.98,17.55,99.28,3.0
Truck Driver,Education,Canada,2022.0,65.14,74.36,24.19,135155.08,137791.65,1.95,10.37,49.51,4.49,3.0
Data Analyst,Education,Germany,2024.0,40.2,42.16,50.57,128052.26,132162.7,3.21,15.02,11.15,69.52,5.0
Accountant,Education,Singapore,2025.0,32.55,33.57,7.51,143202.88,153438.24,7.15,2.66,80.25,75.54,5.0
HR Manager,Education,Japan,2024.0,34.38,37.27,36.39,129992.92,152783.21,17.53,1.35,19.67,84.61,2.0
Customer Support Rep,Education,Singapore,2022.0,55.05,53.02,11.39,111137.01,122881.14,10.57,14.67,75.56,0.01,4.0
Customer Support Rep,Education,USA,2026.0,73.12,77.02,81.07,35370.17,31655.64,-10.5,-4.72,23.14,28.92,2.0
Accountant,Education,India,2021.0,76.41,88.7,87.57,126170.02,125708.49,-0.37,-12.38,86.19,50.52,2.0
Software Engineer,Education,UK,2025.0,49.58,46.96,55.53,41991.83,39880.19,-5.03,16.79,68.37,72.54,5.0
Financial Analyst,Education,Japan,2025.0,58.7,64.94,44.12,115977.15,101064.07,-12.86,-0.05,66.94,97.6,2.0
Financial Analyst,Education,Japan,2020.0,73.87,66.96,46.21,95897.28,103396.71,7.82,-4.12,44.02,0.81,5.0
Teacher,Education,USA,2026.0,34.39,29.98,64.71,85712.68,61937.57,-27.74,3.2,96.04,21.47,5.0
Mechanical Engineer,Education,Singapore,2026.0,44.73,50.54,40.22,42287.34,35806.02,-15.33,-6.29,74.61,74.28,4.0
Accountant,Education,Brazil,2025.0,43.65,43.63,21.51,62623.29,65959.75,5.33,-3.06,79.31,46.23,2.0
Teacher,Education,Australia,2021.0,45.98,47.33,92.58,107441.47,115063.49,7.09,3.59,80.64,20.0,3.0
Mechanical Engineer,Education,Canada,2021.0,61.93,68.29,66.69,58083.38,66951.63,15.27,24.03,53.58,55.0,5.0
Accountant,Education,India,2024.0,71.45,82.74,65.92,71374.43,69103.59,-3.18,11.01,60.64,9.97,5.0
Software Engineer,Education,Singapore,2023.0,53.0,63.29,80.99,85224.79,83608.14,-1.9,13.5,57.24,47.71,3.0
Truck Driver,Education,Japan,2021.0,33.35,35.33,56.72,96411.55,96093.15,-0.33,-0.04,93.22,39.76,4.0
Software Engineer,Education,USA,2021.0,7.48,8.44,43.55,38681.82,36579.77,-5.43,17.64,19.03,63.38,1.0
Mechanical Engineer,Education,Singapore,2026.0,13.58,14.92,50.53,107725.09,66394.68,-38.37,17.37,25.46,27.87,1.0
Marketing Specialist,Education,UK,2024.0,28.67,31.14,39.43,111249.84,113617.5,2.13,4.9,75.6,95.25,5.0
Financial Analyst,Education,USA,2020.0,12.61,10.22,73.91,68161.16,66002.64,-3.17,18.74,50.77,51.29,3.0
Customer Support Rep,Education,Australia,2025.0,68.42,69.63,73.98,114712.39,137357.52,19.74,8.77,88.62,43.23,4.0
Truck Driver,Education,Japan,2026.0,66.78,64.85,33.06,40838.23,37151.95,-9.03,31.98,19.41,61.25,4.0
HR Manager,Education,USA,2022.0,38.64,34.84,85.97,114022.59,139032.87,21.93,14.56,18.2,47.39,4.0
Data Analyst,Education,USA,2026.0,65.04,74.77,13.45,50734.76,43812.15,-13.64,-4.28,65.33,90.28,2.0
Financial Analyst,Education,Canada,2021.0,64.33,63.98,22.48,53420.95,55975.23,4.78,-0.77,30.61,52.66,3.0
Marketing Specialist,Education,Brazil,2023.0,49.04,52.01,15.41,107584.21,113728.79,5.71,-2.23,40.52,70.99,1.0
HR Manager,Education,Germany,2025.0,60.57,50.52,22.0,31057.78,28177.57,-9.27,17.88,80.8,33.89,5.0
HR Manager,Education,Singapore,2021.0,24.12,23.44,49.4,36626.12,36848.75,0.61,24.26,12.31,92.47,3.0
Marketing Specialist,Education,Brazil,2025.0,14.63,12.97,12.79,67488.71,84941.12,25.86,9.19,81.09,65.62,2.0
Software Engineer,Education,India,2026.0,60.93,57.5,92.67,113838.84,118660.0,4.24,-11.05,57.97,13.79,3.0
Teacher,Education,Singapore,2023.0,45.89,49.11,96.03,60440.34,63526.03,5.11,7.02,45.81,95.3,4.0
Marketing Specialist,Education,Singapore,2022.0,42.85,40.22,86.24,132512.12,133350.03,0.63,2.24,43.1,41.57,3.0
Truck Driver,Education,UK,2022.0,83.56,75.16,43.22,110152.05,91810.35,-16.65,-15.02,15.91,40.14,2.0
Teacher,Education,Brazil,2025.0,40.82,44.21,58.77,68152.72,79624.97,16.83,8.93,13.81,1.12,1.0
Data Analyst,Education,Singapore,2024.0,32.06,27.34,66.43,55686.29,48161.46,-13.51,2.0,59.36,11.61,3.0
Truck Driver,Education,Germany,2025.0,50.42,59.53,94.63,47387.84,48604.68,2.57,2.72,45.35,0.44,3.0
Data Analyst,Education,Australia,2025.0,5.0,4.8,27.07,149920.21,160373.22,6.97,1.52,70.86,34.09,3.0
Teacher,Education,Singapore,2022.0,43.72,41.98,98.62,128534.84,149925.5,16.64,0.24,34.26,10.02,1.0
HR Manager,Education,Singapore,2020.0,31.52,37.64,81.41,49758.56,47456.05,-4.63,1.93,58.0,85.8,5.0
Marketing Specialist,Education,Brazil,2024.0,58.6,49.5,56.53,59843.02,71530.72,19.53,-4.95,33.13,5.22,2.0
Marketing Specialist,Education,Singapore,2021.0,47.32,39.75,58.87,123407.47,123790.82,0.31,3.38,89.81,67.07,3.0
Customer Support Rep,Education,Singapore,2024.0,94.54,80.6,4.93,113322.71,116633.42,2.92,7.8,71.06,95.4,2.0
Software Engineer,Education,USA,2020.0,66.66,74.47,57.87,107616.68,106314.29,-1.21,12.27,39.83,97.72,4.0
Accountant,Education,Germany,2024.0,52.85,53.89,27.3,59340.9,52285.62,-11.89,9.42,25.95,87.3,1.0
Mechanical Engineer,Education,Japan,2023.0,43.11,48.32,78.9,121199.66,113593.9,-6.28,-15.53,63.55,97.39,5.0
Financial Analyst,Education,Singapore,2024.0,66.4,57.41,29.28,111540.96,122996.89,10.27,-1.48,21.74,76.27,3.0
Mechanical Engineer,Education,UK,2022.0,63.48,58.21,8.14,31371.92,25464.64,-18.83,-10.24,98.96,46.98,4.0
Truck Driver,Education,UK,2020.0,68.01,72.9,35.12,67665.52,60581.47,-10.47,11.78,47.77,18.82,5.0
Financial Analyst,Education,Canada,2023.0,10.58,12.57,43.17,146321.95,150110.05,2.59,-5.66,28.09,79.01,3.0
Teacher,Education,Singapore,2022.0,57.79,67.98,66.35,134552.75,128394.58,-4.58,15.71,64.01,15.63,1.0
HR Manager,Education,Australia,2022.0,47.49,42.37,74.37,93367.01,78755.32,-15.65,-1.01,99.88,7.17,4.0
Marketing Specialist,Education,Japan,2024.0,42.77,51.09,42.53,102488.65,91117.99,-11.09,22.13,11.46,59.17,4.0
Teacher,Education,USA,2022.0,71.69,74.16,77.86,59844.86,63761.04,6.54,7.9,44.72,77.91,3.0
Marketing Specialist,Education,UK,2020.0,15.27,12.41,69.55,82611.47,99316.94,20.22,23.31,34.96,47.59,2.0
Teacher,Education,UK,2020.0,28.9,23.52,26.11,63444.88,65057.19,2.54,11.97,17.35,13.54,2.0
HR Manager,Education,UK,2026.0,34.18,32.96,16.56,54488.77,57354.53,5.26,7.44,45.51,17.98,4.0
Marketing Specialist,Education,UK,2025.0,29.96,29.42,29.07,58029.49,66348.74,14.34,6.91,33.96,60.33,3.0
Accountant,Education,USA,2020.0,49.22,41.04,90.37,138854.09,145113.8,4.51,7.1,83.03,82.85,2.0
HR Manager,Education,Australia,2021.0,49.88,46.01,21.78,69264.0,61614.13,-11.04,9.34,33.28,46.81,5.0
Truck Driver,Education,UK,2020.0,51.13,49.44,30.06,108794.63,106850.68,-1.79,12.53,27.31,27.07,4.0
Accountant,Education,Australia,2026.0,79.92,82.45,4.23,100410.58,94719.17,-5.67,13.11,81.69,28.82,5.0
Software Engineer,Education,Singapore,2020.0,13.6,16.18,36.16,102165.15,113739.7,11.33,25.6,92.32,67.44,4.0
Mechanical Engineer,Education,Singapore,2022.0,38.26,43.81,18.11,95308.41,96629.72,1.39,9.98,83.53,65.36,1.0
Data Analyst,Education,UK,2020.0,63.47,76.11,16.41,36542.71,34895.58,-4.51,-15.02,28.43,30.14,5.0
Teacher,Education,India,2026.0,22.01,22.58,70.33,54297.43,48782.64,-10.16,10.38,65.21,41.2,4.0
Teacher,Education,Germany,2023.0,57.26,49.71,18.98,141180.07,140612.46,-0.4,-0.02,38.21,66.51,4.0
Financial Analyst,Education,Japan,2025.0,35.96,38.96,22.6,108769.58,124044.26,14.04,7.45,39.94,59.27,1.0
Marketing Specialist,Education,Canada,2021.0,66.21,63.55,18.89,121078.37,121469.03,0.32,-3.94,15.75,35.64,1.0
Teacher,Education,UK,2023.0,52.08,53.24,40.47,81485.76,79487.95,-2.45,-10.18,95.79,85.05,4.0
Data Analyst,Education,Brazil,2023.0,50.68,44.31,90.95,129344.45,124413.35,-3.81,2.93,69.11,65.38,2.0
Accountant,Education,Japan,2026.0,63.11,55.31,56.82,127705.31,136500.54,6.89,11.1,89.14,93.77,2.0
Data Analyst,Education,India,2021.0,41.93,37.59,49.05,38894.3,38756.54,-0.35,-0.27,45.88,13.69,3.0
Data Analyst,Education,USA,2022.0,36.7,35.35,30.97,65654.06,70170.42,6.88,1.53,75.14,66.97,1.0
Teacher,Education,India,2026.0,65.91,59.51,61.8,85207.95,79303.4,-6.93,15.26,67.89,88.22,3.0
Customer Support Rep,Education,UK,2025.0,67.74,60.28,61.31,105393.54,113133.91,7.34,19.22,97.23,19.73,3.0
HR Manager,Education,Singapore,2022.0,23.65,20.0,74.03,122403.66,129810.71,6.05,2.2,62.66,21.49,2.0
HR Manager,Education,Australia,2020.0,37.99,35.87,82.64,84256.69,87384.35,3.71,5.18,15.4,48.8,3.0
HR Manager,Education,UK,2020.0,78.99,79.68,14.07,56360.96,53019.89,-5.93,4.77,51.63,41.89,1.0
HR Manager,Education,India,2020.0,63.76,72.76,77.89,105727.89,125423.62,18.63,6.25,45.18,84.13,1.0
Data Analyst,Education,Brazil,2024.0,19.12,18.43,69.92,106646.81,123253.43,15.57,6.87,78.21,61.79,2.0
Data Analyst,Education,Canada,2022.0,5.0,5.78,86.89,72872.51,74457.29,2.17,14.08,82.53,42.74,3.0
Financial Analyst,Education,India,2026.0,28.56,23.04,47.97,133069.48,135836.26,2.08,14.86,50.01,77.48,1.0
Marketing Specialist,Education,Singapore,2024.0,40.62,33.72,94.66,140464.23,135688.67,-3.4,24.53,18.36,79.07,1.0
Software Engineer,Education,UK,2020.0,5.02,5.91,77.34,130665.73,147690.54,13.03,-1.65,53.68,20.11,1.0
Teacher,Education,Canada,2023.0,49.99,42.99,78.39,69893.73,81103.74,16.04,11.79,90.01,83.58,1.0
Customer Support Rep,Education,Australia,2025.0,81.52,69.63,59.54,71128.85,75628.34,6.33,-7.43,51.13,40.01,3.0
HR Manager,Education,Germany,2020.0,62.45,57.58,95.15,115718.16,101801.06,-12.03,-4.9,57.13,7.91,5.0
Customer Support Rep,Education,India,2024.0,49.93,59.19,93.61,131763.35,130472.05,-0.98,13.1,58.28,74.21,1.0
Accountant,Education,Canada,2020.0,32.81,36.56,90.04,56225.82,48518.14,-13.71,20.95,99.06,47.88,1.0
Marketing Specialist,Education,Canada,2021.0,79.54,85.86,16.23,31489.93,32581.76,3.47,1.63,11.95,23.31,1.0
Teacher,Education,India,2026.0,55.09,64.31,38.13,121822.82,130461.46,7.09,6.62,45.85,31.91,2.0
Truck Driver,Education,Germany,2020.0,86.81,80.12,69.2,120353.83,116608.32,-3.11,-5.91,53.45,35.57,1.0
Teacher,Education,Canada,2024.0,79.21,79.23,19.42,87248.01,91728.38,5.14,24.22,25.26,81.75,5.0
Marketing Specialist,Education,Canada,2023.0,72.58,79.09,46.52,40381.11,39749.13,-1.57,-0.52,51.74,60.91,3.0
Software Engineer,Education,USA,2020.0,64.4,74.9,52.72,56329.88,52923.5,-6.05,11.3,34.05,23.33,3.0
Customer Support Rep,Education,USA,2020.0,36.69,37.8,46.33,109220.72,116386.87,6.56,12.69,94.8,39.83,2.0
Accountant,Education,Brazil,2021.0,55.98,58.44,70.84,109246.37,105481.36,-3.45,-1.36,21.66,84.3,2.0
Mechanical Engineer,Education,UK,2024.0,42.43,39.44,60.87,135146.8,118976.28,-11.97,-19.3,97.99,67.8,5.0
Financial Analyst,Education,Japan,2024.0,47.13,39.27,28.53,92444.67,96652.25,4.55,12.73,65.97,49.6,4.0
Accountant,Education,Australia,2024.0,30.91,26.2,40.91,33422.22,32323.55,-3.29,-9.07,47.67,4.43,4.0
Teacher,Education,Japan,2022.0,16.93,18.16,25.28,77037.73,70459.33,-8.54,24.62,32.55,33.44,3.0
