JOB TITLE,INDUSTRY,JOB STATUS,AI IMPACT LEVEL,MEDIAN SALARY (USD),REQUIRED EDUCATION,EXPERIENCE REQUIRED (YEARS),JOB OPENINGS (2024),PROJECTED OPENINGS (2030),REMOTE WORK RATIO (%),AUTOMATION RISK (%),LOCATION,GENDER DIVERSITY (%),OPENING GROWTH (%)
Ecologist,Education,Increasing,Low,101582.62,Master's Degree,17.0,2010.0,4265.0,76.32,33.41,USA,34.36,112.19
"Lighting technician, broadcasting/film/video",Education,Decreasing,High,108805.77,High School,3.0,6086.0,1278.0,13.71,94.72,India,23.89,-79.0
Radiation protection practitioner,Education,Decreasing,Moderate,56786.75,Bachelor's Degree,2.0,6513.0,5031.0,84.53,97.18,Brazil,61.5,-22.75
"Administrator, local government",Education,Increasing,Moderate,108313.35,PhD,11.0,3020.0,7776.0,72.28,52.13,China,47.94,157.48
Interpreter,Education,Increasing,Moderate,100364.95,High School,9.0,3614.0,7433.0,83.06,9.25,UK,57.36,105.67
Contractor,Education,Decreasing,Low,44542.32,Associate Degree,12.0,3008.0,5292.0,93.08,56.09,Germany,55.49,75.93
Animal nutritionist,Education,Increasing,Low,115671.06,High School,18.0,5068.0,1631.0,49.36,73.57,Canada,33.37,-67.82
"Programmer, applications",Education,Increasing,Low,124163.37,PhD,10.0,6069.0,2051.0,92.95,26.41,UK,64.49,-66.21
Statistician,Education,Decreasing,Moderate,66108.46,Master's Degree,19.0,5190.0,9121.0,78.7,11.59,Germany,79.76,75.74
Community arts worker,Education,Decreasing,Low,84259.31,Bachelor's Degree,18.0,4979.0,5010.0,81.84,82.85,Germany,51.08,0.62
"Engineer, building services",Education,Decreasing,High,66477.58,Associate Degree,11.0,9791.0,2123.0,54.69,50.28,USA,20.69,-78.32
Museum education officer,Education,Decreasing,High,106745.24,Master's Degree,19.0,5590.0,5737.0,95.49,44.25,China,74.34,2.63
Animal nutritionist,Education,Increasing,Low,41738.24,High School,6.0,9520.0,8776.0,81.51,46.78,Germany,67.35,-7.82
Meteorologist,Education,Decreasing,Moderate,71383.18,Bachelor's Degree,14.0,4574.0,6529.0,94.79,57.51,China,30.94,42.74
Health service manager,Education,Increasing,Moderate,109893.39,Associate Degree,7.0,2214.0,3221.0,52.37,98.7,India,60.35,45.48
Amenity horticulturist,Education,Increasing,High,144279.99,High School,6.0,581.0,6806.0,16.19,11.67,Germany,71.64,1071.43
Special educational needs teacher,Education,Increasing,Low,103008.1,Bachelor's Degree,20.0,9655.0,8179.0,14.69,97.36,Brazil,23.19,-15.29
Mental health nurse,Education,Decreasing,High,63364.07,PhD,8.0,9737.0,3603.0,51.88,81.05,Brazil,24.48,-63.0
Charity officer,Education,Increasing,Moderate,77432.87,High School,3.0,152.0,5053.0,13.01,80.8,India,53.82,3224.34
Tax inspector,Education,Decreasing,Low,144115.67,Bachelor's Degree,3.0,5237.0,2017.0,96.21,85.85,Canada,49.69,-61.49
"Journalist, newspaper",Education,Decreasing,Low,95081.03,Associate Degree,15.0,2526.0,5731.0,52.5,74.24,India,23.16,126.88
Electrical engineer,Education,Increasing,Moderate,57580.63,Associate Degree,4.0,2067.0,8768.0,71.18,66.32,UK,22.9,324.19
Clinical psychologist,Education,Decreasing,High,65559.22,Associate Degree,8.0,3836.0,7536.0,98.5,44.05,Australia,70.7,96.45
Psychiatrist,Education,Increasing,Moderate,62451.48,Bachelor's Degree,7.0,888.0,1424.0,56.65,60.73,USA,57.72,60.36
Professor Emeritus,Education,Decreasing,Low,97488.67,High School,15.0,6982.0,2981.0,64.6,50.43,Canada,78.54,-57.3
"Civil engineer, contracting",Education,Decreasing,Low,131949.79,Associate Degree,10.0,2686.0,5686.0,55.48,60.19,China,54.35,111.69
Psychotherapist,Education,Increasing,High,79089.3,PhD,15.0,7630.0,8829.0,34.24,73.65,Australia,31.35,15.71
Materials engineer,Education,Increasing,High,107480.14,Associate Degree,9.0,8209.0,9061.0,3.82,54.8,Brazil,42.87,10.38
"Research officer, political party",Education,Decreasing,High,59454.94,High School,19.0,6704.0,5261.0,0.23,8.69,India,56.43,-21.52
Chief Marketing Officer,Education,Increasing,Low,41908.92,PhD,7.0,4748.0,4606.0,48.77,69.33,Germany,69.85,-2.99
Editorial assistant,Education,Decreasing,Low,71644.15,High School,4.0,3045.0,1378.0,81.55,3.23,China,25.9,-54.75
IT sales professional,Education,Increasing,Low,131535.74,PhD,14.0,9371.0,5079.0,37.31,9.83,Australia,24.34,-45.8
"Secretary, company",Education,Decreasing,Low,133084.2,PhD,14.0,9564.0,4801.0,29.58,28.42,China,73.46,-49.8
Sales executive,Education,Decreasing,Low,144257.7,PhD,4.0,6096.0,4151.0,54.2,10.86,China,74.59,-31.91
Mechanical engineer,Education,Decreasing,High,143868.15,Bachelor's Degree,9.0,6814.0,3364.0,8.47,69.43,Canada,36.05,-50.63
"Biochemist, clinical",Education,Increasing,Moderate,49212.71,PhD,6.0,1761.0,5171.0,25.77,9.89,China,32.79,193.64
Plant breeder/geneticist,Education,Decreasing,High,70067.45,Master's Degree,20.0,946.0,8811.0,20.67,37.67,Germany,33.83,831.4
Web designer,Education,Decreasing,Low,144317.34,Master's Degree,16.0,1551.0,1402.0,25.23,77.23,UK,71.83,-9.61
Educational psychologist,Education,Increasing,High,111204.78,Master's Degree,7.0,6598.0,8325.0,4.92,44.61,USA,76.78,26.17
"Teacher, music",Education,Decreasing,Low,125646.43,High School,7.0,7055.0,9459.0,3.0,90.78,Australia,21.31,34.08
Chartered certified accountant,Education,Decreasing,High,47856.45,PhD,4.0,5577.0,1913.0,42.28,10.31,China,43.75,-65.7
Information systems manager,Education,Increasing,Moderate,52965.07,Bachelor's Degree,12.0,2477.0,4841.0,36.15,10.2,UK,54.51,95.44
"Engineer, electrical",Education,Increasing,Low,106283.4,Bachelor's Degree,15.0,497.0,3005.0,32.45,46.13,Australia,52.75,504.63
"Psychologist, sport and exercise",Education,Decreasing,Low,89727.55,Bachelor's Degree,12.0,7994.0,1472.0,83.5,5.68,China,47.18,-81.59
Print production planner,Education,Decreasing,High,130871.86,Master's Degree,7.0,2194.0,6379.0,96.14,50.45,Australia,50.35,190.75
Fine artist,Education,Increasing,Low,62975.11,Associate Degree,4.0,7938.0,6743.0,96.04,70.53,UK,71.29,-15.05
IT sales professional,Education,Increasing,Moderate,98642.15,Associate Degree,18.0,3618.0,4187.0,84.88,39.05,China,26.75,15.73
Immunologist,Education,Decreasing,Moderate,101453.26,Master's Degree,10.0,9906.0,4425.0,86.95,99.28,Australia,75.0,-55.33
Translator,Education,Increasing,High,34395.44,Bachelor's Degree,18.0,6143.0,1061.0,50.28,46.05,UK,46.94,-82.73
Video editor,Education,Increasing,Moderate,60255.27,High School,18.0,8610.0,8096.0,29.58,38.5,USA,20.15,-5.97
Broadcast engineer,Education,Increasing,Low,40919.68,PhD,8.0,3749.0,5385.0,79.7,49.41,India,63.46,43.64
Aid worker,Education,Increasing,Moderate,76786.81,PhD,17.0,269.0,5835.0,93.34,29.84,China,21.23,2069.14
"Psychotherapist, dance movement",Education,Decreasing,High,95782.63,Master's Degree,11.0,7259.0,6887.0,4.95,55.24,Australia,58.0,-5.12
Chief Technology Officer,Education,Increasing,Low,146814.23,PhD,18.0,7357.0,9785.0,75.88,63.65,UK,52.62,33.0
Private music teacher,Education,Increasing,Moderate,89394.36,Associate Degree,8.0,301.0,6650.0,94.52,71.05,USA,76.64,2109.3
Airline pilot,Education,Decreasing,High,36978.97,High School,7.0,3647.0,1516.0,9.49,53.25,Canada,66.86,-58.43
Administrator,Education,Increasing,Moderate,134309.48,Master's Degree,4.0,9567.0,7128.0,55.89,25.67,Canada,59.38,-25.49
"Engineer, water",Education,Increasing,Low,130797.34,Associate Degree,4.0,3285.0,7537.0,31.41,65.82,Germany,49.81,129.44
"Surveyor, commercial/residential",Education,Increasing,Low,56582.87,Associate Degree,9.0,2316.0,4033.0,77.52,19.81,UK,41.1,74.14
Chief Executive Officer,Education,Increasing,Low,49817.09,High School,4.0,6794.0,6776.0,59.24,54.07,UK,35.88,-0.26
Commercial/residential surveyor,Education,Increasing,Moderate,148727.86,Bachelor's Degree,16.0,535.0,7777.0,28.99,96.06,UK,36.93,1353.64
Fast food restaurant manager,Education,Increasing,Moderate,119061.85,Bachelor's Degree,2.0,9546.0,7310.0,32.06,46.08,Brazil,32.74,-23.42
Neurosurgeon,Education,Decreasing,Low,60691.06,Master's Degree,18.0,3604.0,9862.0,40.91,29.02,UK,53.06,173.64
Land/geomatics surveyor,Education,Decreasing,High,101233.52,Associate Degree,4.0,3447.0,2766.0,16.6,72.92,Germany,35.49,-19.76
Neurosurgeon,Education,Increasing,Moderate,146765.2,PhD,7.0,3935.0,9095.0,83.82,97.14,China,64.95,131.13
Information officer,Education,Increasing,Moderate,67089.79,Associate Degree,4.0,5070.0,4339.0,40.86,56.44,China,43.89,-14.42
"Scientist, research (medical)",Education,Increasing,High,116352.97,PhD,10.0,4258.0,4701.0,67.65,31.56,UK,22.06,10.4
Insurance risk surveyor,Education,Increasing,Moderate,104173.95,Bachelor's Degree,3.0,6984.0,5581.0,98.71,32.3,Canada,76.96,-20.09
Consulting civil engineer,Education,Increasing,Low,59208.51,Master's Degree,15.0,5258.0,4960.0,46.26,30.78,India,39.68,-5.67
"Engineer, site",Education,Increasing,Low,137575.49,Bachelor's Degree,7.0,9378.0,2998.0,29.6,10.05,Brazil,70.32,-68.03
Retail merchandiser,Education,Decreasing,Low,94086.63,Associate Degree,5.0,6138.0,9078.0,15.18,18.46,Canada,28.45,47.9
Building surveyor,Education,Increasing,Moderate,137078.44,Associate Degree,2.0,1712.0,6974.0,96.73,1.19,India,20.87,307.36
Facilities manager,Education,Decreasing,Moderate,93798.77,Associate Degree,18.0,6655.0,3606.0,84.63,59.7,Canada,67.22,-45.82
Investment analyst,Education,Increasing,High,56176.24,Associate Degree,17.0,8700.0,1678.0,86.83,50.77,India,79.81,-80.71
Drilling engineer,Education,Increasing,Low,64078.71,Associate Degree,17.0,5952.0,307.0,11.98,9.96,USA,34.37,-94.84
"Conservator, furniture",Education,Increasing,Moderate,90042.43,PhD,10.0,6188.0,3378.0,22.78,45.57,UK,47.18,-45.41
Petroleum engineer,Education,Decreasing,High,82259.71,Associate Degree,6.0,8516.0,1339.0,67.3,30.08,Germany,64.0,-84.28
"Accountant, chartered public finance",Education,Increasing,Moderate,67226.49,PhD,18.0,7724.0,4643.0,34.92,69.41,USA,35.88,-39.89
Comptroller,Education,Increasing,Moderate,96736.65,Master's Degree,4.0,2520.0,8620.0,79.64,51.63,India,24.89,242.06
Camera operator,Education,Decreasing,High,37825.96,PhD,7.0,5710.0,8747.0,2.09,94.25,Australia,26.33,53.19
"Engineer, civil (consulting)",Education,Decreasing,Moderate,114245.64,High School,13.0,6703.0,8990.0,30.78,2.72,USA,78.76,34.12
Contractor,Education,Decreasing,High,122233.28,Associate Degree,3.0,9341.0,6943.0,44.73,43.71,Australia,31.04,-25.67
"Surveyor, hydrographic",Education,Increasing,Low,58084.64,Bachelor's Degree,18.0,767.0,9529.0,26.49,53.42,Brazil,28.59,1142.37
Health and safety inspector,Education,Decreasing,Moderate,32086.02,Master's Degree,5.0,6648.0,1732.0,18.96,20.71,India,41.8,-73.95
Charity officer,Education,Increasing,High,108796.95,Associate Degree,2.0,5996.0,3950.0,76.18,44.28,UK,27.79,-34.12
Dancer,Education,Decreasing,Moderate,61077.16,PhD,19.0,8025.0,2793.0,51.13,96.2,Canada,64.51,-65.2
"Therapist, music",Education,Decreasing,Low,87895.14,High School,20.0,7171.0,10000.0,3.61,76.86,India,68.65,39.45
"Engineer, production",Education,Increasing,Low,68414.82,High School,14.0,1925.0,3422.0,5.57,90.43,USA,40.4,77.77
"Investment banker, operational",Education,Increasing,High,72228.59,PhD,14.0,522.0,1355.0,46.03,60.8,UK,67.42,159.58
Intelligence analyst,Education,Decreasing,High,94804.8,Master's Degree,13.0,4476.0,6933.0,31.1,92.36,USA,72.79,54.89
Commissioning editor,Education,Increasing,Low,64157.25,Bachelor's Degree,18.0,5843.0,4693.0,0.75,92.18,Australia,47.44,-19.68
Ecologist,Education,Decreasing,Moderate,75140.48,Associate Degree,14.0,6329.0,1854.0,85.48,38.96,China,52.18,-70.71
"Social research officer, government",Education,Decreasing,Low,70195.44,PhD,16.0,2999.0,250.0,75.34,64.46,India,44.36,-91.66
Video editor,Education,Increasing,High,102950.74,PhD,1.0,4430.0,3726.0,93.42,84.39,Canada,41.29,-15.89
Hydrographic surveyor,Education,Decreasing,Low,81709.18,High School,17.0,317.0,6814.0,82.58,12.47,India,58.61,2049.53
Energy engineer,Education,Decreasing,High,98361.86,Associate Degree,13.0,4251.0,5242.0,9.96,92.98,Brazil,64.87,23.31
"Teacher, secondary school",Education,Decreasing,Low,41403.25,Associate Degree,14.0,1013.0,1594.0,7.37,96.5,USA,31.49,57.35
"Research officer, government",Education,Increasing,Moderate,140050.64,Bachelor's Degree,9.0,1653.0,297.0,38.55,24.01,Germany,61.46,-82.03
Data scientist,Education,Increasing,High,138332.71,Associate Degree,12.0,9171.0,1416.0,42.13,9.52,China,28.24,-84.56
TEFL teacher,Education,Increasing,High,146274.01,PhD,3.0,1124.0,3351.0,58.52,80.68,USA,27.65,198.13
Media buyer,Education,Increasing,High,64220.09,High School,14.0,2004.0,6584.0,71.27,13.69,Germany,77.39,228.54
Dietitian,Education,Decreasing,High,98114.85,PhD,14.0,5853.0,672.0,33.29,10.45,Brazil,46.14,-88.52
Banker,Education,Increasing,Moderate,57794.61,PhD,5.0,3202.0,8017.0,97.76,1.55,China,61.04,150.37
Further education lecturer,Education,Increasing,Moderate,102612.3,Master's Degree,15.0,5823.0,7595.0,34.44,59.83,China,78.48,30.43
"Surveyor, building",Education,Increasing,Low,45501.57,PhD,5.0,4315.0,3229.0,39.76,12.69,Brazil,51.06,-25.17
Copy,Education,Increasing,High,109859.1,Bachelor's Degree,9.0,7185.0,1607.0,71.58,42.45,USA,45.77,-77.63
"Scientist, research (maths)",Education,Increasing,Low,98440.79,Bachelor's Degree,7.0,5089.0,7928.0,9.73,63.5,UK,47.36,55.79
Materials engineer,Education,Increasing,Moderate,80845.6,High School,0.0,1102.0,4604.0,53.55,0.44,Germany,37.25,317.79
Merchant navy officer,Education,Decreasing,Moderate,128669.68,Associate Degree,10.0,486.0,7907.0,96.99,1.24,Canada,40.75,1526.95
"Engineer, electronics",Education,Increasing,High,112804.85,Master's Degree,12.0,3049.0,9053.0,62.39,25.96,USA,78.17,196.92
Senior tax professional/tax inspector,Education,Increasing,High,45430.05,Master's Degree,12.0,238.0,4628.0,90.48,88.07,UK,58.31,1844.54
Psychotherapist,Education,Decreasing,High,69916.19,Master's Degree,7.0,4635.0,5314.0,91.31,61.05,China,33.02,14.65
Hydrogeologist,Education,Decreasing,Moderate,105187.89,Associate Degree,19.0,1939.0,2427.0,6.88,61.93,Canada,74.97,25.17
Communications engineer,Education,Decreasing,High,114543.17,Bachelor's Degree,12.0,3200.0,4311.0,7.73,55.32,India,38.09,34.72
"Surveyor, land/geomatics",Education,Decreasing,Moderate,92077.31,Associate Degree,6.0,9542.0,9363.0,24.98,39.77,Germany,55.85,-1.88
Equities trader,Education,Increasing,Low,116936.25,Bachelor's Degree,11.0,7157.0,7680.0,71.74,84.74,Canada,52.65,7.31
Fisheries officer,Education,Decreasing,High,131721.36,Associate Degree,8.0,8314.0,4562.0,40.82,84.39,China,67.19,-45.13
"Designer, textile",Education,Increasing,Moderate,146656.89,Master's Degree,12.0,4326.0,3591.0,65.86,99.88,India,75.22,-16.99
Public relations officer,Education,Increasing,Low,141232.48,PhD,12.0,8139.0,487.0,55.61,88.57,Brazil,26.28,-94.02
Broadcast journalist,Education,Increasing,Low,93635.2,PhD,11.0,9249.0,8237.0,16.13,36.48,Australia,29.2,-10.94
Hydrogeologist,Education,Decreasing,High,132796.41,Associate Degree,2.0,1230.0,3667.0,53.59,95.73,India,28.2,198.13
Civil Service fast streamer,Education,Decreasing,Low,79771.62,Master's Degree,20.0,3043.0,1602.0,29.1,92.24,Germany,34.45,-47.35
Careers adviser,Education,Decreasing,High,111223.14,Master's Degree,18.0,3883.0,4395.0,7.3,46.18,Australia,30.2,13.19
Chartered loss adjuster,Education,Increasing,Low,116283.66,High School,10.0,3003.0,9975.0,73.67,91.65,USA,25.6,232.17
Mining engineer,Education,Decreasing,High,45746.38,Bachelor's Degree,14.0,6285.0,1715.0,7.97,43.49,Brazil,59.8,-72.71
Forensic scientist,Education,Increasing,High,84825.82,Bachelor's Degree,4.0,7991.0,7201.0,6.97,53.24,China,69.08,-9.89
Psychotherapist,Education,Increasing,Moderate,132774.3,High School,15.0,1361.0,9758.0,3.06,99.31,Germany,73.07,616.97
Astronomer,Education,Decreasing,Moderate,34272.24,Master's Degree,9.0,607.0,293.0,31.44,72.76,USA,64.66,-51.73
Chief Technology Officer,Education,Increasing,High,62728.04,Bachelor's Degree,2.0,733.0,5441.0,42.55,15.93,India,65.0,642.29
Veterinary surgeon,Education,Increasing,High,90652.57,High School,11.0,7438.0,1916.0,88.04,44.93,UK,27.21,-74.24
"Engineer, drilling",Education,Increasing,High,74335.83,PhD,2.0,6599.0,9335.0,13.07,2.66,India,34.48,41.46
"Surveyor, land/geomatics",Education,Increasing,High,44163.01,High School,18.0,5181.0,4482.0,91.36,96.67,USA,59.55,-13.49
Air broker,Education,Decreasing,Moderate,69295.09,High School,19.0,7641.0,7803.0,33.74,48.66,UK,34.62,2.12
Contracting civil engineer,Education,Decreasing,Low,137875.12,PhD,4.0,5921.0,841.0,34.88,91.85,Brazil,29.44,-85.8
"Designer, exhibition/display",Education,Decreasing,Moderate,124056.77,Bachelor's Degree,16.0,6753.0,4925.0,30.35,59.43,Brazil,44.87,-27.07
Meteorologist,Education,Decreasing,Moderate,72817.88,Bachelor's Degree,16.0,7242.0,9231.0,22.96,39.34,India,30.79,27.46
Nature conservation officer,Education,Decreasing,Moderate,64170.7,Master's Degree,1.0,9745.0,668.0,76.43,62.51,USA,69.62,-93.15
Metallurgist,Education,Increasing,High,52494.07,Bachelor's Degree,14.0,9625.0,6949.0,25.03,76.46,Australia,66.27,-27.8
Energy engineer,Education,Increasing,Low,95580.24,Bachelor's Degree,15.0,5068.0,9522.0,79.01,57.58,Canada,64.17,87.88
Computer games developer,Education,Increasing,High,118846.46,Associate Degree,1.0,9787.0,7266.0,99.6,11.82,UK,37.03,-25.76
Furniture designer,Education,Increasing,Moderate,141306.96,Bachelor's Degree,7.0,2878.0,3207.0,14.95,17.62,India,79.88,11.43
Air traffic controller,Education,Increasing,Low,69701.34,Associate Degree,6.0,9785.0,1236.0,96.24,79.78,USA,74.67,-87.37
Land/geomatics surveyor,Education,Increasing,Low,142297.8,High School,0.0,6468.0,1483.0,40.94,9.02,USA,77.59,-77.07
Research scientist (physical sciences),Education,Decreasing,Low,91038.57,Master's Degree,17.0,3080.0,6405.0,78.1,92.33,UK,25.27,107.95
Colour technologist,Education,Increasing,Moderate,80421.65,Associate Degree,18.0,7072.0,1971.0,85.57,16.49,USA,42.53,-72.13
Glass blower/designer,Education,Decreasing,Moderate,121043.26,High School,4.0,7667.0,9345.0,21.62,42.65,Brazil,31.18,21.89
Graphic designer,Education,Increasing,Moderate,42879.76,PhD,17.0,8439.0,6963.0,30.55,76.47,Brazil,54.99,-17.49
Music tutor,Education,Decreasing,Moderate,92531.44,Associate Degree,13.0,2421.0,6154.0,83.71,92.37,China,59.1,154.19
Academic librarian,Education,Decreasing,Moderate,112307.4,Master's Degree,18.0,9686.0,9897.0,31.73,19.68,China,36.84,2.18
Forensic psychologist,Education,Increasing,Moderate,115864.63,Associate Degree,3.0,8293.0,3788.0,89.87,93.09,Germany,21.27,-54.32
Science writer,Education,Increasing,High,30754.9,High School,15.0,8320.0,6486.0,30.07,45.16,China,44.83,-22.04
Advertising account planner,Education,Decreasing,High,138453.04,PhD,0.0,741.0,4948.0,79.99,65.91,UK,29.8,567.75
Health visitor,Education,Increasing,Moderate,67147.01,Associate Degree,2.0,7068.0,5213.0,80.52,17.44,Canada,67.37,-26.25
Education administrator,Education,Increasing,High,44984.9,High School,19.0,9499.0,5846.0,31.48,8.7,UK,69.42,-38.46
Animator,Education,Decreasing,Low,58112.1,PhD,7.0,9265.0,3051.0,14.37,77.41,China,46.68,-67.07
Estate manager/land agent,Education,Decreasing,Low,116724.47,PhD,4.0,180.0,8716.0,9.63,40.55,Germany,66.71,4742.22
IT sales professional,Education,Increasing,High,66861.34,Master's Degree,15.0,217.0,8125.0,56.31,54.93,Australia,22.87,3644.24
"Designer, multimedia",Education,Increasing,Moderate,140767.8,Bachelor's Degree,12.0,2976.0,3155.0,24.17,67.14,Brazil,44.61,6.01
Stage manager,Education,Increasing,Moderate,91891.19,Associate Degree,6.0,8006.0,5552.0,55.19,69.4,China,51.38,-30.65
Warden/ranger,Education,Increasing,Low,31442.9,Bachelor's Degree,20.0,4820.0,9845.0,59.31,73.27,India,65.82,104.25
Barrister,Education,Decreasing,Low,65373.45,Bachelor's Degree,19.0,7883.0,2624.0,9.72,21.3,Canada,42.2,-66.71
Camera operator,Education,Decreasing,Moderate,122112.27,PhD,0.0,2964.0,2456.0,69.96,28.39,Australia,68.5,-17.14
Occupational psychologist,Education,Decreasing,Moderate,39596.11,High School,2.0,136.0,1016.0,26.49,21.91,UK,25.2,647.06
Nature conservation officer,Education,Decreasing,Moderate,106698.22,High School,7.0,6881.0,2119.0,70.46,27.15,Brazil,76.04,-69.21
Radio broadcast assistant,Education,Increasing,Low,146865.43,Master's Degree,16.0,7941.0,3675.0,70.02,40.94,Canada,67.68,-53.72
"Radiographer, therapeutic",Education,Decreasing,Low,76654.02,Associate Degree,5.0,5421.0,2567.0,59.27,4.41,Canada,20.08,-52.65
Systems analyst,Education,Increasing,Moderate,79585.59,Associate Degree,10.0,6056.0,2129.0,22.34,68.38,Brazil,61.71,-64.84
Dancer,Education,Increasing,Moderate,124625.14,Associate Degree,0.0,9124.0,7381.0,6.92,48.55,Australia,40.07,-19.1
Telecommunications researcher,Education,Increasing,Low,101608.26,Master's Degree,9.0,8341.0,7783.0,84.42,40.59,China,38.58,-6.69
Ergonomist,Education,Increasing,Moderate,53858.51,Associate Degree,0.0,5238.0,8524.0,60.09,52.05,China,68.93,62.73
Management consultant,Education,Decreasing,Moderate,48879.89,Associate Degree,16.0,2546.0,4915.0,53.71,81.55,Canada,60.82,93.05
"Restaurant manager, fast food",Education,Decreasing,Low,125149.49,Master's Degree,5.0,3711.0,3200.0,1.88,54.05,UK,30.44,-13.77
Media planner,Education,Decreasing,Moderate,46953.61,Bachelor's Degree,9.0,7294.0,4595.0,29.12,40.71,UK,28.34,-37.0
Health and safety adviser,Education,Increasing,Moderate,84600.72,Master's Degree,12.0,1378.0,2740.0,49.25,65.99,Brazil,36.3,98.84
Illustrator,Education,Increasing,Low,101067.37,Bachelor's Degree,20.0,3094.0,8734.0,8.7,70.68,Germany,74.74,182.29
Trading standards officer,Education,Decreasing,Low,148301.73,High School,18.0,1343.0,5904.0,81.63,5.64,Brazil,46.09,339.61
Higher education lecturer,Education,Decreasing,High,118352.91,Master's Degree,6.0,3370.0,169.0,35.11,79.9,Australia,42.47,-94.99
"Buyer, industrial",Education,Increasing,Low,34691.36,PhD,0.0,8403.0,8516.0,53.61,61.79,USA,69.94,1.34
Tax inspector,Education,Increasing,High,84052.77,Bachelor's Degree,14.0,8725.0,7347.0,54.55,93.09,USA,26.42,-15.79
"Engineer, site",Education,Decreasing,Moderate,137776.27,PhD,15.0,5861.0,4849.0,73.26,10.72,Canada,22.96,-17.27
"Scientist, marine",Education,Decreasing,Moderate,65828.86,Master's Degree,0.0,2680.0,220.0,22.76,89.37,UK,72.8,-91.79
Location manager,Education,Decreasing,Low,47704.55,Bachelor's Degree,2.0,5232.0,2091.0,12.01,56.83,USA,70.78,-60.03
Environmental health practitioner,Education,Decreasing,Low,49494.94,Master's Degree,0.0,8900.0,3993.0,99.17,65.38,Canada,37.66,-55.13
Marketing executive,Education,Decreasing,High,55416.44,Bachelor's Degree,1.0,8448.0,3267.0,55.59,40.58,Canada,25.56,-61.33
"Engineer, electronics",Education,Decreasing,High,93213.25,High School,7.0,9685.0,6498.0,64.8,77.93,Brazil,38.27,-32.91
Multimedia programmer,Education,Increasing,Low,71330.08,PhD,17.0,4347.0,4154.0,23.69,41.02,India,62.14,-4.44
Veterinary surgeon,Education,Increasing,Moderate,101355.9,Master's Degree,2.0,2236.0,5941.0,95.49,27.86,Australia,72.39,165.7
IT consultant,Education,Increasing,High,111228.56,PhD,4.0,7690.0,4282.0,66.6,75.18,Germany,41.0,-44.32
"Engineer, automotive",Education,Decreasing,High,92413.81,PhD,18.0,8490.0,7631.0,13.65,45.78,Australia,21.11,-10.12
"Sound technician, broadcasting/film/video",Education,Increasing,Moderate,40282.52,PhD,5.0,2834.0,9892.0,73.09,51.02,Canada,67.39,249.05
Aid worker,Education,Increasing,Low,69535.54,Bachelor's Degree,6.0,4009.0,5347.0,10.05,1.7,Brazil,26.44,33.37
Scientific laboratory technician,Education,Decreasing,Low,55187.99,PhD,3.0,3835.0,5338.0,41.25,60.74,India,33.38,39.19
Ambulance person,Education,Decreasing,Moderate,47728.0,High School,15.0,9760.0,8296.0,25.81,63.98,Australia,47.72,-15.0
Lobbyist,Education,Decreasing,Low,74298.99,High School,5.0,5726.0,6286.0,16.52,59.32,UK,50.15,9.78
Biomedical scientist,Education,Increasing,Low,100976.2,Associate Degree,12.0,8931.0,5926.0,71.41,1.32,Australia,74.92,-33.65
